Roll_No,Gender,Race_Ethnicity,Parental_Level_Of_Education,Lunch,Test_Preparation_Course,Math Score,Reading Score,Writing Score,Science Score,Total Score,Grade _,Eligibility,Percentage,Rank ,,Subject,Centum Count
Std-8279,Female,Group B,High School,1,0,42,60,39,55,196,D,Not Eligible,49,9343,,,
Std-8278,Female,Group D,Some High School,1,0,27,61,81,82,251,B,Eligible,62.75,6404,,,
Std-8277,Female,Group E,High School,1,1,72,74,53,62,261,B,Eligible,65.25,5557,,,
Std-8276,Female,Group C,High School,1,0,28,60,56,75,219,C,Eligible,54.75,8530,,,
Std-8275,Female,Group A,Some College,1,1,67,68,62,90,287,B,Eligible,71.75,3143,,,
Std-8274,Female,Group B,Some College,1,0,76,70,80,66,292,B,Eligible,73,2692,,,
Std-8273,Female,Group B,Some High School,0,1,33,73,49,51,206,C,Eligible,51.5,9042,,,
Std-8272,Female,Group C,Associate'S Degree,0,0,58,79,93,41,271,B,Eligible,67.75,4646,,,
Std-8271,Female,Group D,Associate'S Degree,1,1,93,92,100,36,321,A,Eligible,80.25,805,,,
Std-8270,Female,Group D,Bachelor'S Degree,1,0,69,60,81,67,277,B,Eligible,69.25,4080,,,
Std-827,Male,Group B,Master'S Degree,1,0,31,89,49,98,267,B,Eligible,66.75,5021,,,
Std-8269,Female,Group E,Bachelor'S Degree,1,0,100,65,84,58,307,B,Eligible,76.75,1541,,,
Std-8268,Female,Group D,Some High School,1,0,58,41,54,85,238,C,Eligible,59.5,7419,,,
Std-8267,Female,Group C,Master'S Degree,0,0,27,91,55,70,243,C,Eligible,60.75,7042,,,
Std-8266,Female,Group D,Some High School,1,0,66,38,69,61,234,C,Eligible,58.5,7684,,,
Std-8265,Female,Group B,High School,1,0,100,34,82,61,277,B,Eligible,69.25,4080,,,
Std-8264,Female,Group D,Associate'S Degree,1,1,45,48,76,43,212,C,Eligible,53,8855,,,
Std-8263,Female,Group C,Associate'S Degree,1,0,55,69,78,82,284,B,Eligible,71,3422,,,
Std-8262,Female,Group A,Bachelor'S Degree,0,0,50,79,80,56,265,B,Eligible,66.25,5197,,,
Std-8261,Female,Group E,Associate'S Degree,1,1,71,93,69,58,291,B,Eligible,72.75,2781,,,
Std-8260,Female,Group E,Some High School,1,0,99,53,56,73,281,B,Eligible,70.25,3684,,,
Std-826,Male,Group D,Associate'S Degree,1,0,49,44,37,77,207,C,Eligible,51.75,9008,,,
Std-8259,Female,Group D,Some College,1,0,73,60,90,83,306,B,Eligible,76.5,1607,,,
Std-8258,Female,Group A,Master'S Degree,1,0,60,98,85,92,335,A,Eligible,83.75,367,,,
Std-8257,Female,Group C,Some College,1,1,68,68,77,53,266,B,Eligible,66.5,5101,,,
Std-8256,Female,Group C,Associate'S Degree,1,1,80,100,55,65,300,B,Eligible,75,2035,,,
Std-8255,Female,Group C,Some College,0,1,75,40,95,96,306,B,Eligible,76.5,1607,,,
Std-8254,Female,Group B,Master'S Degree,0,0,55,65,84,84,288,B,Eligible,72,3038,,,
Std-8253,Female,Group C,High School,1,1,36,86,74,45,241,C,Eligible,60.25,7197,,,
Std-8252,Female,Group E,Master'S Degree,1,0,59,65,72,62,258,B,Eligible,64.5,5822,,,
Std-8251,Female,Group D,Some College,1,0,91,54,83,56,284,B,Eligible,71,3422,,,
Std-8250,Female,Group E,Some College,1,0,30,90,100,79,299,B,Eligible,74.75,2119,,,
Std-825,Male,Group B,Some High School,0,0,51,74,49,54,228,C,Eligible,57,8042,,,
Std-8249,Female,Group B,Some High School,1,1,67,68,89,57,281,B,Eligible,70.25,3684,,,
Std-8248,Female,Group B,Some High School,1,1,54,75,63,43,235,C,Eligible,58.75,7627,,,
Std-8247,Female,Group D,High School,0,1,53,56,86,64,259,B,Eligible,64.75,5736,,,
Std-8246,Female,Group D,High School,0,0,38,85,60,59,242,C,Eligible,60.5,7111,,,
Std-8245,Female,Group C,Bachelor'S Degree,1,1,50,62,74,78,264,B,Eligible,66,5291,,,
Std-8244,Female,Group C,Some College,1,0,92,48,88,91,319,B,Eligible,79.75,905,,,
Std-8243,Female,Group C,High School,0,0,44,100,87,43,274,B,Eligible,68.5,4358,,,
Std-8242,Female,Group B,Associate'S Degree,1,0,81,90,77,80,328,A,Eligible,82,563,,,
Std-8241,Female,Group C,Some High School,1,0,76,63,88,42,269,B,Eligible,67.25,4839,,,
Std-8240,Female,Group C,High School,0,1,93,41,43,74,251,B,Eligible,62.75,6404,,,
Std-824,Male,Group A,High School,0,0,19,100,83,70,272,B,Eligible,68,4563,,,
Std-8239,Female,Group B,High School,0,1,50,72,94,47,263,B,Eligible,65.75,5373,,,
Std-8238,Female,Group E,Bachelor'S Degree,1,1,56,57,96,77,286,B,Eligible,71.5,3238,,,
Std-8237,Female,Group B,Associate'S Degree,1,0,64,69,91,88,312,B,Eligible,78,1247,,,
Std-8236,Female,Group A,Some High School,1,1,65,88,94,76,323,A,Eligible,80.75,714,,,
Std-8235,Female,Group E,High School,1,1,68,47,55,56,226,C,Eligible,56.5,8156,,,
Std-8234,Female,Group A,Some College,1,1,50,49,54,64,217,C,Eligible,54.25,8620,,,
Std-8233,Female,Group E,Some College,1,0,59,23,72,31,185,D,Not Eligible,46.25,9599,,,
Std-8232,Female,Group E,Some College,1,1,84,89,85,90,348,A,Eligible,87,122,,,
Std-8231,Female,Group B,Associate'S Degree,1,0,70,59,89,58,276,B,Eligible,69,4166,,,
Std-8230,Female,Group E,High School,1,0,67,62,68,55,252,B,Eligible,63,6320,,,
Std-823,Male,Group E,Some College,0,1,46,84,73,48,251,B,Eligible,62.75,6404,,,
Std-8229,Female,Group B,Bachelor'S Degree,0,0,42,83,75,72,272,B,Eligible,68,4563,,,
Std-8228,Female,Group C,Some College,1,0,86,63,51,76,276,B,Eligible,69,4166,,,
Std-8227,Female,Group B,High School,1,0,93,63,66,92,314,B,Eligible,78.5,1135,,,
Std-8226,Female,Group B,Some College,1,1,70,61,83,83,297,B,Eligible,74.25,2266,,,
Std-8225,Female,Group A,Some High School,1,1,56,67,67,56,246,C,Eligible,61.5,6814,,,
Std-8224,Female,Group D,Associate'S Degree,1,0,56,75,36,59,226,C,Eligible,56.5,8156,,,
Std-8223,Female,Group B,Associate'S Degree,1,0,28,88,53,79,248,C,Eligible,62,6641,,,
Std-8222,Female,Group D,Some High School,1,1,86,58,77,77,298,B,Eligible,74.5,2190,,,
Std-8221,Female,Group A,Some High School,1,0,81,52,82,89,304,B,Eligible,76,1729,,,
Std-8220,Female,Group A,Some College,0,0,66,89,61,86,302,B,Eligible,75.5,1870,,,
Std-822,Male,Group C,Bachelor'S Degree,1,0,18,77,76,89,260,B,Eligible,65,5646,,,
Std-8219,Female,Group E,Some College,1,0,56,75,96,89,316,B,Eligible,79,1032,,,
Std-8218,Female,Group C,Associate'S Degree,0,0,48,61,76,51,236,C,Eligible,59,7557,,,
Std-8217,Female,Group A,Some High School,1,0,48,64,94,58,264,B,Eligible,66,5291,,,
Std-8216,Female,Group D,Some High School,0,0,58,87,70,73,288,B,Eligible,72,3038,,,
Std-8215,Female,Group D,Bachelor'S Degree,1,0,99,34,78,85,296,B,Eligible,74,2337,,,
Std-8214,Female,Group D,Some College,0,0,74,51,81,74,280,B,Eligible,70,3790,,,
Std-8213,Female,Group A,Some High School,1,0,59,40,45,53,197,D,Not Eligible,49.25,9317,,,
Std-8212,Female,Group D,Some High School,1,0,50,75,44,52,221,C,Eligible,55.25,8431,,,
Std-8211,Female,Group B,High School,1,0,63,74,39,64,240,C,Eligible,60,7273,,,
Std-8210,Female,Group D,Associate'S Degree,1,1,81,70,95,84,330,A,Eligible,82.5,494,,,
Std-821,Male,Group D,Some College,1,0,36,85,84,100,305,B,Eligible,76.25,1658,,,
Std-8209,Female,Group B,Bachelor'S Degree,1,0,83,72,80,92,327,A,Eligible,81.75,590,,,
Std-8208,Female,Group C,High School,1,1,51,87,96,42,276,B,Eligible,69,4166,,,
Std-8207,Female,Group C,High School,0,0,53,100,48,85,286,B,Eligible,71.5,3238,,,
Std-8206,Female,Group A,High School,0,0,48,64,100,81,293,B,Eligible,73.25,2602,,,
Std-8205,Female,Group C,High School,0,0,75,84,76,68,303,B,Eligible,75.75,1795,,,
Std-8204,Female,Group C,Some High School,1,0,61,53,44,96,254,B,Eligible,63.5,6155,,,
Std-8203,Female,Group E,Associate'S Degree,0,0,50,87,84,63,284,B,Eligible,71,3422,,,
Std-8202,Female,Group D,High School,1,0,72,40,79,67,258,B,Eligible,64.5,5822,,,
Std-8201,Female,Group C,Associate'S Degree,1,1,82,80,80,50,292,B,Eligible,73,2692,,,
Std-8200,Female,Group D,Bachelor'S Degree,1,1,59,73,100,80,312,B,Eligible,78,1247,,,
Std-820,Male,Group D,Some College,0,1,64,70,57,76,267,B,Eligible,66.75,5021,,,
Std-82,Male,Group E,High School,0,1,48,76,80,100,304,B,Eligible,76,1729,,,
Std-8199,Female,Group B,Master'S Degree,1,1,91,76,94,86,347,A,Eligible,86.75,142,,,
Std-8198,Female,Group C,Associate'S Degree,1,0,45,57,72,47,221,C,Eligible,55.25,8431,,,
Std-8197,Female,Group B,High School,0,1,32,73,71,54,230,C,Eligible,57.5,7929,,,
Std-8196,Female,Group B,Bachelor'S Degree,0,0,59,97,49,62,267,B,Eligible,66.75,5021,,,
Std-8195,Female,Group D,Some High School,1,1,72,61,82,78,293,B,Eligible,73.25,2602,,,
Std-8194,Female,Group A,Some College,1,0,29,93,77,62,261,B,Eligible,65.25,5557,,,
Std-8193,Female,Group C,Some College,1,1,94,41,72,77,284,B,Eligible,71,3422,,,
Std-8192,Female,Group E,Associate'S Degree,0,0,55,73,73,71,272,B,Eligible,68,4563,,,
Std-8191,Female,Group B,Some College,0,1,51,79,79,57,266,B,Eligible,66.5,5101,,,
Std-8190,Female,Group C,High School,0,0,82,51,90,69,292,B,Eligible,73,2692,,,
Std-819,Male,Group C,Some College,1,1,25,63,50,52,190,D,Not Eligible,47.5,9485,,,
Std-8189,Female,Group C,Associate'S Degree,1,1,62,71,80,98,311,B,Eligible,77.75,1306,,,
Std-8188,Female,Group C,Associate'S Degree,1,0,92,69,100,92,353,A,Eligible,88.25,89,,,
Std-8187,Female,Group D,High School,1,0,68,52,72,100,292,B,Eligible,73,2692,,,
Std-8186,Female,Group D,High School,0,0,69,75,100,47,291,B,Eligible,72.75,2781,,,
Std-8185,Female,Group D,Associate'S Degree,0,0,70,66,93,45,274,B,Eligible,68.5,4358,,,
Std-8184,Female,Group E,Some College,1,0,51,54,87,73,265,B,Eligible,66.25,5197,,,
Std-8183,Female,Group C,Bachelor'S Degree,1,0,77,69,44,66,256,B,Eligible,64,5987,,,
Std-8182,Female,Group A,High School,1,1,70,72,83,55,280,B,Eligible,70,3790,,,
Std-8181,Female,Group A,Some High School,0,0,53,76,100,63,292,B,Eligible,73,2692,,,
Std-8180,Female,Group A,Associate'S Degree,0,0,73,66,79,37,255,B,Eligible,63.75,6070,,,
Std-818,Male,Group C,Associate'S Degree,0,0,43,54,71,75,243,C,Eligible,60.75,7042,,,
Std-8179,Female,Group E,Some High School,1,0,27,72,71,92,262,B,Eligible,65.5,5475,,,
Std-8178,Female,Group A,High School,1,0,62,53,100,51,266,B,Eligible,66.5,5101,,,
Std-8177,Female,Group C,High School,1,1,27,66,24,41,158,D,Not Eligible,39.5,9906,,,
Std-8176,Female,Group C,High School,1,1,31,55,71,80,237,C,Eligible,59.25,7503,,,
Std-8175,Female,Group D,Some High School,1,0,67,60,100,74,301,B,Eligible,75.25,1956,,,
Std-8174,Female,Group B,Bachelor'S Degree,1,0,61,62,81,91,295,B,Eligible,73.75,2414,,,
Std-8173,Female,Group D,High School,0,0,65,86,95,87,333,A,Eligible,83.25,414,,,
Std-8172,Female,Group D,High School,1,1,49,61,97,74,281,B,Eligible,70.25,3684,,,
Std-8171,Female,Group D,Some College,0,0,68,42,61,58,229,C,Eligible,57.25,7986,,,
Std-8170,Female,Group B,Some College,0,0,37,56,70,56,219,C,Eligible,54.75,8530,,,
Std-817,Male,Group B,Master'S Degree,0,0,69,54,52,50,225,C,Eligible,56.25,8211,,,
Std-8169,Female,Group C,Bachelor'S Degree,1,1,77,90,97,86,350,A,Eligible,87.5,108,,,
Std-8168,Female,Group C,Some High School,0,0,51,63,82,52,248,C,Eligible,62,6641,,,
Std-8167,Female,Group A,Some College,0,1,88,60,86,23,257,B,Eligible,64.25,5905,,,
Std-8166,Female,Group A,Associate'S Degree,1,0,94,88,86,34,302,B,Eligible,75.5,1870,,,
Std-8165,Female,Group A,Associate'S Degree,1,1,62,62,74,96,294,B,Eligible,73.5,2500,,,
Std-8164,Female,Group A,Some College,1,0,71,60,93,85,309,B,Eligible,77.25,1419,,,
Std-8163,Female,Group E,Associate'S Degree,0,1,67,23,53,86,229,C,Eligible,57.25,7986,,,
Std-8162,Female,Group C,Some College,0,0,60,61,96,97,314,B,Eligible,78.5,1135,,,
Std-8161,Female,Group C,Master'S Degree,1,0,27,51,79,52,209,C,Eligible,52.25,8948,,,
Std-8160,Female,Group E,Some College,0,0,75,87,69,95,326,A,Eligible,81.5,619,,,
Std-816,Male,Group B,Bachelor'S Degree,1,0,75,81,46,67,269,B,Eligible,67.25,4839,,,
Std-8159,Female,Group B,High School,0,1,63,81,86,78,308,B,Eligible,77,1474,,,
Std-8158,Female,Group B,Master'S Degree,1,0,55,89,88,100,332,A,Eligible,83,440,,,
Std-8157,Female,Group D,Some College,1,0,88,39,47,81,255,B,Eligible,63.75,6070,,,
Std-8156,Female,Group C,Some College,1,1,69,32,71,75,247,C,Eligible,61.75,6731,,,
Std-8155,Female,Group D,Bachelor'S Degree,0,0,32,93,67,77,269,B,Eligible,67.25,4839,,,
Std-8154,Female,Group B,High School,1,0,64,82,69,73,288,B,Eligible,72,3038,,,
Std-8153,Female,Group D,Associate'S Degree,1,0,57,48,85,75,265,B,Eligible,66.25,5197,,,
Std-8152,Female,Group C,Some College,1,0,58,76,61,99,294,B,Eligible,73.5,2500,,,
Std-8151,Female,Group E,Some College,1,0,73,67,69,83,292,B,Eligible,73,2692,,,
Std-8150,Female,Group C,Master'S Degree,1,1,59,92,54,80,285,B,Eligible,71.25,3320,,,
Std-815,Male,Group E,Some College,1,0,45,20,34,71,170,D,Not Eligible,42.5,9814,,,
Std-8149,Female,Group D,Associate'S Degree,1,0,55,41,73,100,269,B,Eligible,67.25,4839,,,
Std-8148,Female,Group E,Bachelor'S Degree,1,1,87,77,100,79,343,A,Eligible,85.75,198,,,
Std-8147,Female,Group C,Bachelor'S Degree,1,1,64,61,70,77,272,B,Eligible,68,4563,,,
Std-8146,Female,Group D,Bachelor'S Degree,1,0,68,89,62,100,319,B,Eligible,79.75,905,,,
Std-8145,Female,Group C,Associate'S Degree,1,1,61,88,54,56,259,B,Eligible,64.75,5736,,,
Std-8144,Female,Group E,High School,0,0,78,100,86,50,314,B,Eligible,78.5,1135,,,
Std-8143,Female,Group E,Some High School,0,1,78,27,72,72,249,C,Eligible,62.25,6567,,,
Std-8142,Female,Group C,Some High School,1,1,52,95,84,41,272,B,Eligible,68,4563,,,
Std-8141,Female,Group A,Master'S Degree,0,1,82,47,94,64,287,B,Eligible,71.75,3143,,,
Std-8140,Female,Group D,Associate'S Degree,0,0,76,64,92,80,312,B,Eligible,78,1247,,,
Std-814,Male,Group E,Bachelor'S Degree,0,1,45,55,58,62,220,C,Eligible,55,8487,,,
Std-8139,Female,Group C,Associate'S Degree,1,0,86,63,98,47,294,B,Eligible,73.5,2500,,,
Std-8138,Female,Group E,High School,1,0,74,90,60,38,262,B,Eligible,65.5,5475,,,
Std-8137,Female,Group C,Some High School,1,1,95,64,87,75,321,A,Eligible,80.25,805,,,
Std-8136,Female,Group E,High School,0,1,87,68,65,73,293,B,Eligible,73.25,2602,,,
Std-8135,Female,Group D,High School,0,0,90,82,86,91,349,A,Eligible,87.25,116,,,
Std-8134,Female,Group A,Some High School,1,0,27,89,28,60,204,C,Eligible,51,9108,,,
Std-8133,Female,Group A,High School,1,0,77,71,90,66,304,B,Eligible,76,1729,,,
Std-8132,Female,Group C,Master'S Degree,0,0,71,54,93,41,259,B,Eligible,64.75,5736,,,
Std-8131,Female,Group E,Associate'S Degree,0,1,33,84,98,57,272,B,Eligible,68,4563,,,
Std-8130,Female,Group E,Bachelor'S Degree,1,0,27,40,96,81,244,C,Eligible,61,6969,,,
Std-813,Male,Group E,High School,0,0,62,94,48,72,276,B,Eligible,69,4166,,,
Std-8129,Female,Group C,Some High School,0,0,87,65,78,82,312,B,Eligible,78,1247,,,
Std-8128,Female,Group D,Some High School,1,0,88,56,83,77,304,B,Eligible,76,1729,,,
Std-8127,Female,Group B,Bachelor'S Degree,0,1,63,93,79,55,290,B,Eligible,72.5,2860,,,
Std-8126,Female,Group D,Some College,1,1,31,73,60,66,230,C,Eligible,57.5,7929,,,
Std-8125,Female,Group D,Some High School,1,1,82,81,89,61,313,B,Eligible,78.25,1192,,,
Std-8124,Female,Group A,Some College,1,0,77,82,95,86,340,A,Eligible,85,255,,,
Std-8123,Female,Group A,Associate'S Degree,0,0,71,39,81,31,222,C,Eligible,55.5,8375,,,
Std-8122,Female,Group C,Some High School,0,1,87,54,67,55,263,B,Eligible,65.75,5373,,,
Std-8121,Female,Group C,Bachelor'S Degree,1,1,69,77,78,76,300,B,Eligible,75,2035,,,
Std-8120,Female,Group E,Some College,1,1,59,56,100,75,290,B,Eligible,72.5,2860,,,
Std-812,Male,Group B,Some College,1,0,81,57,51,46,235,C,Eligible,58.75,7627,,,
Std-8119,Female,Group E,Some College,0,0,87,63,94,68,312,B,Eligible,78,1247,,,
Std-8118,Female,Group D,Some College,0,0,66,91,78,78,313,B,Eligible,78.25,1192,,,
Std-8117,Female,Group A,Some College,1,1,55,66,62,53,236,C,Eligible,59,7557,,,
Std-8116,Female,Group C,Some College,1,1,86,61,71,77,295,B,Eligible,73.75,2414,,,
Std-8115,Female,Group C,Some High School,1,1,41,69,53,39,202,C,Eligible,50.5,9190,,,
Std-8114,Female,Group D,Some College,1,0,79,53,82,78,292,B,Eligible,73,2692,,,
Std-8113,Female,Group B,High School,1,0,56,79,72,59,266,B,Eligible,66.5,5101,,,
Std-8112,Female,Group B,High School,1,0,54,90,85,40,269,B,Eligible,67.25,4839,,,
Std-8111,Female,Group C,Associate'S Degree,0,1,36,60,88,89,273,B,Eligible,68.25,4466,,,
Std-8110,Female,Group D,Bachelor'S Degree,0,0,56,70,93,68,287,B,Eligible,71.75,3143,,,
Std-811,Male,Group E,Some High School,0,1,81,90,81,65,317,B,Eligible,79.25,995,,,
Std-8109,Female,Group E,Some High School,1,0,78,80,90,79,327,A,Eligible,81.75,590,,,
Std-8108,Female,Group A,Bachelor'S Degree,0,0,78,89,97,70,334,A,Eligible,83.5,390,,,
Std-8107,Female,Group D,Some High School,1,0,64,69,73,68,274,B,Eligible,68.5,4358,,,
Std-8106,Female,Group C,High School,1,0,69,34,82,69,254,B,Eligible,63.5,6155,,,
Std-8105,Female,Group E,Some High School,0,1,69,85,98,84,336,A,Eligible,84,333,,,
Std-8104,Female,Group A,High School,1,1,66,69,85,87,307,B,Eligible,76.75,1541,,,
Std-8103,Female,Group C,Associate'S Degree,1,1,79,74,100,69,322,A,Eligible,80.5,754,,,
Std-8102,Female,Group C,Bachelor'S Degree,0,0,60,58,80,83,281,B,Eligible,70.25,3684,,,
Std-8101,Female,Group E,Some High School,1,1,53,85,39,62,239,C,Eligible,59.75,7336,,,
Std-8100,Female,Group C,Associate'S Degree,1,0,83,81,63,67,294,B,Eligible,73.5,2500,,,
Std-810,Male,Group C,High School,1,0,34,79,96,51,260,B,Eligible,65,5646,,,
Std-81,Male,Group E,Bachelor'S Degree,1,1,47,70,100,90,307,B,Eligible,76.75,1541,,,
Std-8099,Female,Group C,Associate'S Degree,1,0,99,44,86,62,291,B,Eligible,72.75,2781,,,
Std-8098,Female,Group E,Some High School,1,0,81,58,94,77,310,B,Eligible,77.5,1359,,,
Std-8097,Female,Group D,Some College,1,1,53,70,90,85,298,B,Eligible,74.5,2190,,,
Std-8096,Female,Group C,Master'S Degree,0,1,98,50,58,55,261,B,Eligible,65.25,5557,,,
Std-8095,Female,Group D,Associate'S Degree,0,0,85,62,71,57,275,B,Eligible,68.75,4259,,,
Std-8094,Female,Group E,Some High School,0,1,84,100,64,45,293,B,Eligible,73.25,2602,,,
Std-8093,Female,Group D,Some College,0,1,69,56,83,52,260,B,Eligible,65,5646,,,
Std-8092,Female,Group B,Some College,1,0,61,90,33,81,265,B,Eligible,66.25,5197,,,
Std-8091,Female,Group A,Associate'S Degree,0,0,34,81,88,53,256,B,Eligible,64,5987,,,
Std-8090,Female,Group D,Some College,0,1,45,70,64,62,241,C,Eligible,60.25,7197,,,
Std-809,Male,Group B,High School,0,0,19,70,42,91,222,C,Eligible,55.5,8375,,,
Std-8089,Female,Group C,Bachelor'S Degree,1,1,51,75,63,79,268,B,Eligible,67,4934,,,
Std-8088,Female,Group B,Some College,0,0,71,85,88,100,344,A,Eligible,86,180,,,
Std-8087,Female,Group B,Bachelor'S Degree,0,0,66,73,89,73,301,B,Eligible,75.25,1956,,,
Std-8086,Female,Group C,Associate'S Degree,0,1,41,50,32,45,168,D,Not Eligible,42,9843,,,
Std-8085,Female,Group A,High School,1,0,89,53,95,57,294,B,Eligible,73.5,2500,,,
Std-8084,Female,Group B,Some College,1,0,57,59,97,91,304,B,Eligible,76,1729,,,
Std-8083,Female,Group A,Associate'S Degree,1,0,59,65,85,76,285,B,Eligible,71.25,3320,,,
Std-8082,Female,Group C,Associate'S Degree,0,0,88,89,69,62,308,B,Eligible,77,1474,,,
Std-8081,Female,Group C,High School,1,0,72,61,54,83,270,B,Eligible,67.5,4738,,,
Std-8080,Female,Group B,Associate'S Degree,1,0,31,85,100,39,255,B,Eligible,63.75,6070,,,
Std-808,Male,Group B,Associate'S Degree,0,0,28,93,48,95,264,B,Eligible,66,5291,,,
Std-8079,Female,Group E,Master'S Degree,1,1,55,62,62,86,265,B,Eligible,66.25,5197,,,
Std-8078,Female,Group D,Master'S Degree,1,0,66,68,70,41,245,C,Eligible,61.25,6889,,,
Std-8077,Female,Group C,Some College,1,0,54,76,64,87,281,B,Eligible,70.25,3684,,,
Std-8076,Female,Group C,Some High School,1,0,60,66,91,68,285,B,Eligible,71.25,3320,,,
Std-8075,Female,Group A,Master'S Degree,0,0,72,88,89,90,339,A,Eligible,84.75,274,,,
Std-8074,Female,Group B,Some High School,1,0,68,73,81,88,310,B,Eligible,77.5,1359,,,
Std-8073,Female,Group B,Bachelor'S Degree,1,1,45,53,81,60,239,C,Eligible,59.75,7336,,,
Std-8072,Female,Group C,Some High School,1,1,71,81,58,88,298,B,Eligible,74.5,2190,,,
Std-8071,Female,Group A,Some College,1,0,69,81,65,62,277,B,Eligible,69.25,4080,,,
Std-8070,Female,Group D,Some College,1,0,60,39,86,54,239,C,Eligible,59.75,7336,,,
Std-807,Male,Group D,High School,0,1,61,48,63,68,240,C,Eligible,60,7273,,,
Std-8069,Female,Group D,Some College,1,0,58,83,80,48,269,B,Eligible,67.25,4839,,,
Std-8068,Female,Group D,Bachelor'S Degree,1,1,53,65,85,97,300,B,Eligible,75,2035,,,
Std-8067,Female,Group C,Associate'S Degree,0,1,62,69,84,57,272,B,Eligible,68,4563,,,
Std-8066,Female,Group D,High School,1,1,75,26,38,62,201,C,Eligible,50.25,9223,,,
Std-8065,Female,Group B,Associate'S Degree,1,0,55,71,88,60,274,B,Eligible,68.5,4358,,,
Std-8064,Female,Group D,High School,1,0,70,76,75,42,263,B,Eligible,65.75,5373,,,
Std-8063,Female,Group D,Associate'S Degree,1,0,75,45,89,43,252,B,Eligible,63,6320,,,
Std-8062,Female,Group A,Some College,1,0,57,73,61,37,228,C,Eligible,57,8042,,,
Std-8061,Female,Group C,Associate'S Degree,1,0,80,46,71,87,284,B,Eligible,71,3422,,,
Std-8060,Female,Group D,Associate'S Degree,1,1,87,46,71,74,278,B,Eligible,69.5,3990,,,
Std-806,Male,Group E,High School,1,1,25,96,100,81,302,B,Eligible,75.5,1870,,,
Std-8059,Female,Group C,Associate'S Degree,0,0,73,33,52,81,239,C,Eligible,59.75,7336,,,
Std-8058,Female,Group D,High School,1,1,39,55,68,31,193,D,Not Eligible,48.25,9423,,,
Std-8057,Female,Group C,Some College,1,0,53,73,88,71,285,B,Eligible,71.25,3320,,,
Std-8056,Female,Group D,Associate'S Degree,0,0,58,51,68,91,268,B,Eligible,67,4934,,,
Std-8055,Female,Group D,Associate'S Degree,1,1,71,69,88,58,286,B,Eligible,71.5,3238,,,
Std-8054,Female,Group B,Master'S Degree,0,0,58,100,61,74,293,B,Eligible,73.25,2602,,,
Std-8053,Female,Group D,Bachelor'S Degree,0,0,63,84,100,90,337,A,Eligible,84.25,312,,,
Std-8052,Female,Group C,Associate'S Degree,1,1,83,63,84,81,311,B,Eligible,77.75,1306,,,
Std-8051,Female,Group C,High School,0,0,56,91,73,80,300,B,Eligible,75,2035,,,
Std-8050,Female,Group E,Some College,1,1,50,93,70,58,271,B,Eligible,67.75,4646,,,
Std-805,Male,Group B,Some College,1,0,19,62,55,58,194,D,Not Eligible,48.5,9395,,,
Std-8049,Female,Group C,Bachelor'S Degree,1,0,57,65,57,65,244,C,Eligible,61,6969,,,
Std-8048,Female,Group D,Associate'S Degree,1,1,28,86,100,89,303,B,Eligible,75.75,1795,,,
Std-8047,Female,Group C,High School,1,0,86,93,47,37,263,B,Eligible,65.75,5373,,,
Std-8046,Female,Group B,Associate'S Degree,1,1,49,75,82,71,277,B,Eligible,69.25,4080,,,
Std-8045,Female,Group C,High School,1,0,72,74,80,96,322,A,Eligible,80.5,754,,,
Std-8044,Female,Group C,Bachelor'S Degree,1,0,77,95,83,92,347,A,Eligible,86.75,142,,,
Std-8043,Female,Group C,Master'S Degree,1,0,56,68,80,89,293,B,Eligible,73.25,2602,,,
Std-8042,Female,Group C,Some High School,1,1,79,81,89,69,318,B,Eligible,79.5,956,,,
Std-8041,Female,Group D,Some College,0,1,27,57,62,70,216,C,Eligible,54,8679,,,
Std-8040,Female,Group B,Associate'S Degree,1,0,52,77,72,81,282,B,Eligible,70.5,3602,,,
Std-804,Male,Group E,Some College,0,0,21,87,74,51,233,C,Eligible,58.25,7738,,,
Std-8039,Female,Group D,Some College,0,1,64,88,79,83,314,B,Eligible,78.5,1135,,,
Std-8038,Female,Group D,Associate'S Degree,1,0,65,96,87,49,297,B,Eligible,74.25,2266,,,
Std-8037,Female,Group A,High School,1,0,75,43,49,94,261,B,Eligible,65.25,5557,,,
Std-8036,Female,Group E,Some High School,0,0,67,69,64,39,239,C,Eligible,59.75,7336,,,
Std-8035,Female,Group C,Master'S Degree,1,1,100,98,99,86,383,A,Eligible,95.75,1,,,
Std-8034,Female,Group E,Associate'S Degree,1,1,62,83,82,91,318,B,Eligible,79.5,956,,,
Std-8033,Female,Group D,Master'S Degree,1,0,40,75,84,87,286,B,Eligible,71.5,3238,,,
Std-8032,Female,Group C,Some High School,1,1,57,74,64,75,270,B,Eligible,67.5,4738,,,
Std-8031,Female,Group C,High School,1,1,72,70,40,65,247,C,Eligible,61.75,6731,,,
Std-8030,Female,Group C,Associate'S Degree,0,1,71,63,78,78,290,B,Eligible,72.5,2860,,,
Std-803,Male,Group E,Some College,1,1,35,64,62,56,217,C,Eligible,54.25,8620,,,
Std-8029,Female,Group E,Some College,1,0,65,56,71,69,261,B,Eligible,65.25,5557,,,
Std-8028,Female,Group D,Some High School,1,0,100,51,81,66,298,B,Eligible,74.5,2190,,,
Std-8027,Female,Group D,Some High School,1,0,63,49,100,79,291,B,Eligible,72.75,2781,,,
